"=== MUTANTS & MASTERMINDS 3E - CHARACTER PROFILE ===","","","","",""
"Character Name","Apex Guardian","Power Level (PL)","PL 10","Export Format","Excel / CSV Compatible"
"WILL","AWE (+2)","6","8","Fortitude + Will <= 20","✓ OK (16/20)"
"INITIATIVE","AGL (+2)","+4 (Improved Init x1)","+6","Determines Turn Order","d20 + Initiative Bonus"
"","","","","",""
"=== SKILLS ===","","","","",""
"Skill Name","Key Ability","Ability Score","Bought Ranks","Total Skill Bonus","PP Cost"
"Acrobatics","AGL","+2","4","+6 (d20+6)","2.0 PP"
"Athletics","STR","+4","2","+6 (d20+6)","1.0 PP"
"Close Combat: Unarmed","FGT","+4","4","+8 (d20+8)","2.0 PP"
"Perception","AWE","+2","4","+6 (d20+6)","2.0 PP"
"","","","","",""
"=== ADVANTAGES ===","","","","",""
"Advantage Name","Category","Ranks","PP Cost","Mechanical Summary","Rules Classification"
"Defensive Roll","Combat","2","2 PP","+1 active bonus to Toughness per rank while not defenseless.","Ranked (Max: None)"
"Improved Initiative","Combat","1","1 PP","+4 bonus to Initiative checks per rank.","Ranked (Max: None)"
"Equipment","General","2","2 PP","5 Equipment Points (EP) per rank for gear and weapons.","Ranked (Max: None)"
"","","","","",""
"=== SUPERPOWERS & ARRAYS ===","","","","",""
"Power Name / Slot Tier","Type / Classification","Ranks & Effect","Cost Allocation","Action / Range / Duration / Resistance & Modifiers","Combat State / Status"
"Titan Strike","Standard Power","Descriptors: Kinetic, Bludgeoning","10 PP Total","Crushing kinetic shockwave","[DEACTIVATED]"
"  Main Effect: Titan Strike","Base Effect","Damage Rank 10","10 PP (1 PP/rk base)","Close, Standard Action, Instant, Resisted by Toughness. Modifiers: No Modifiers","[DEACTIVATED]"
"Elemental Arsenal","Array (Power Suite)","Descriptors: Elemental, Magic","22 PP Total","Mastery over fire, ice, and lightning","[ACTIVE]"
"  ↳ Primary: Hellfire Blast","Primary Main Slot","Blast Rank 10","20 PP (2 PP/rk base)","Ranged, Standard Action, Instant, Resisted by Toughness. Modifiers: No Modifiers","[STANDBY]"
"  ↳ Slot 1: Cryo Freeze","Alternate Slot (1 PP)","Affliction Rank 10","1 PP (Pool: 10 PP capacity)","Ranged, Standard Action, Instant, Resisted by Fortitude. Modifiers: No Modifiers","[ACTIVE IN USE]"
"  ↳ Slot 2: Chain Lightning","Alternate Slot (1 PP)","Damage Rank 10","1 PP (Pool: 20 PP capacity)","Ranged, Standard Action, Instant, Resisted by Toughness. Modifiers: Extras: Area (+1/rk)","[STANDBY]"
"","","","","",""
"=== OFFENSE & COMBAT ATTACKS (TARGETED EFFECTS) ===","","","","",""
"Attack Profile","Attack Bonus","Range & Action","Effect DC & Resistance Check","Critical Threat","Tactical State"
"Unarmed","+8 (d20+8)","Close, Standard Action","Damage Rank 4 (DC 19 vs Toughness)","20","[ACTIVE]"
"Titan Strike","+4 (d20+4)","Close, Standard Action","Damage Rank 10 (DC 25 vs Toughness)","20","[POWER DEACTIVATED]"
"Elemental Arsenal: Hellfire Blast","+2 (d20+2)","Ranged, Standard Action","Blast Rank 10 (DC 25 vs Toughness)","20","[STANDBY]"
"Elemental Arsenal: Cryo Freeze","+2 (d20+2)","Ranged, Standard Action","Affliction Rank 10 (DC 20 vs Fortitude)","20","[ACTIVE]"
"Elemental Arsenal: Chain Lightning","+2 (d20+2)","Ranged, Standard Action","Damage Rank 10 (DC 25 vs Toughness)","20","[STANDBY]"
"","","","","",""
"=== EQUIPMENT & RESOURCES ===","","","","",""
"Resource Item","Category","Cost (EP)","Rules Description / Notes","",""
"Equipment Points (EP) Audit","2 / 10 EP Spent","2 Equipment Ranks","✓ Within EP Budget","",""
"Encrypted Commlink","Gear","1 EP","Secure radio communication device","",""
"Nightvision Goggles","Gear","1 EP","Thermal and low-light vision lenses","",""
"","","","","",""
"=== COMPLICATIONS & ROLEPLAYING NOTES ===","","","","",""
"Section / Category","Content / Narrative Description","","","",""
"Background & Notes","Motivation: Justice and Protecting the Innocent.","","","",""
"  (continued)","Complication: Nemesis - Shadow Syndicate.","","","",""
"  (continued)","Secret Identity: Software Architect at Vance Dynamics.","","","",""
